DR: 0.670342(50), 0.670197(all), eps: 0.200000
DR: 0.754844(50), 0.670415(all), eps: 0.200000
DR: 0.750085(50), 0.670688(all), eps: 0.200000
DR: 0.779210(50), 0.670966(all), eps: 0.200000
DR: 0.665456(50), 0.670991(all), eps: 0.200000
DR: 0.782284(50), 0.671274(all), eps: 0.200000
DR: 0.700925(50), 0.671433(all), eps: 0.200000
DR: 0.711966(50), 0.671536(all), eps: 0.200000
DR: 0.747612(50), 0.671699(all), eps: 0.200000
DR: 0.708185(50), 0.671791(all), eps: 0.200000
DR: 0.782759(50), 0.672102(all), eps: 0.200000
DR: 0.719579(50), 0.672221(all), eps: 0.200000
DR: 0.692233(50), 0.672353(all), eps: 0.200000
DR: 0.724488(50), 0.672483(all), eps: 0.200000
DR: 0.693073(50), 0.672616(all), eps: 0.200000
DR: 0.690264(50), 0.672660(all), eps: 0.200000
DR: 0.598489(50), 0.672498(all), eps: 0.200000
DR: 0.661605(50), 0.672471(all), eps: 0.200000
DR: 0.686960(50), 0.672579(all), eps: 0.200000
DR: 0.800498(50), 0.672893(all), eps: 0.200000
DR: 0.626552(50), 0.672859(all), eps: 0.200000
DR: 0.609235(50), 0.672704(all), eps: 0.200000
DR: 0.640421(50), 0.672656(all), eps: 0.200000
DR: 0.713255(50), 0.672755(all), eps: 0.200000
DR: 0.684907(50), 0.672864(all), eps: 0.200000
DR: 0.704644(50), 0.672941(all), eps: 0.200000
DR: 0.674698(50), 0.672989(all), eps: 0.200000
DR: 0.647222(50), 0.672927(all), eps: 0.200000
DR: 0.633260(50), 0.672911(all), eps: 0.200000
DR: 0.580078(50), 0.672688(all), eps: 0.200000
DR: 0.595934(50), 0.672494(all), eps: 0.200000
DR: 0.577049(50), 0.672267(all), eps: 0.200000
DR: 0.433957(50), 0.671617(all), eps: 0.200000
DR: 0.621182(50), 0.671497(all), eps: 0.200000
DR: 0.684016(50), 0.671604(all), eps: 0.200000
DR: 0.762530(50), 0.671819(all), eps: 0.200000
DR: 0.628725(50), 0.671795(all), eps: 0.200000
DR: 0.634451(50), 0.671707(all), eps: 0.200000
DR: 0.612958(50), 0.671510(all), eps: 0.200000
DR: 0.614863(50), 0.671378(all), eps: 0.200000
DR: 0.779560(50), 0.671707(all), eps: 0.200000
DR: 0.587469(50), 0.671511(all), eps: 0.200000
