DR: 0.647375(50), 0.490171(all), eps: 0.200000
DR: 0.641807(50), 0.490654(all), eps: 0.200000
DR: 0.765547(50), 0.491312(all), eps: 0.200000
DR: 0.621249(50), 0.491717(all), eps: 0.200000
DR: 0.779377(50), 0.492402(all), eps: 0.200000
DR: 0.547407(50), 0.492630(all), eps: 0.200000
DR: 0.681610(50), 0.493078(all), eps: 0.200000
DR: 0.627457(50), 0.493483(all), eps: 0.200000
DR: 0.782902(50), 0.494166(all), eps: 0.200000
DR: 0.717520(50), 0.494713(all), eps: 0.200000
DR: 0.672388(50), 0.495130(all), eps: 0.200000
DR: 0.621348(50), 0.495400(all), eps: 0.200000
DR: 0.701022(50), 0.495881(all), eps: 0.200000
DR: 0.683468(50), 0.496427(all), eps: 0.200000
DR: 0.684367(50), 0.496864(all), eps: 0.200000
DR: 0.668720(50), 0.497280(all), eps: 0.200000
DR: 0.721051(50), 0.497797(all), eps: 0.200000
DR: 0.718935(50), 0.498374(all), eps: 0.200000
DR: 0.661712(50), 0.498750(all), eps: 0.200000
DR: 0.750597(50), 0.499380(all), eps: 0.200000
DR: 0.772037(50), 0.500005(all), eps: 0.200000
DR: 0.556207(50), 0.500231(all), eps: 0.200000
DR: 0.653512(50), 0.500581(all), eps: 0.200000
DR: 0.729930(50), 0.501122(all), eps: 0.200000
DR: 0.604913(50), 0.501358(all), eps: 0.200000
DR: 0.548578(50), 0.501556(all), eps: 0.200000
DR: 0.689375(50), 0.501981(all), eps: 0.200000
DR: 0.625110(50), 0.502298(all), eps: 0.200000
DR: 0.629587(50), 0.502584(all), eps: 0.200000
DR: 0.595757(50), 0.502900(all), eps: 0.200000
DR: 0.676847(50), 0.503289(all), eps: 0.200000
DR: 0.762548(50), 0.503921(all), eps: 0.200000
DR: 0.771919(50), 0.504517(all), eps: 0.200000
DR: 0.740760(50), 0.505137(all), eps: 0.200000
DR: 0.702481(50), 0.505575(all), eps: 0.200000
DR: 0.574961(50), 0.505829(all), eps: 0.200000
DR: 0.709768(50), 0.506279(all), eps: 0.200000
DR: 0.630097(50), 0.506608(all), eps: 0.200000
DR: 0.689423(50), 0.507009(all), eps: 0.200000
DR: 0.659280(50), 0.507390(all), eps: 0.200000
DR: 0.675886(50), 0.507759(all), eps: 0.200000
DR: 0.641612(50), 0.508103(all), eps: 0.200000
DR: 0.706769(50), 0.508535(all), eps: 0.200000
DR: 0.716284(50), 0.509090(all), eps: 0.200000
DR: 0.713892(50), 0.509534(all), eps: 0.200000
DR: 0.700277(50), 0.509957(all), eps: 0.200000
DR: 0.711740(50), 0.510392(all), eps: 0.200000
DR: 0.651373(50), 0.510729(all), eps: 0.200000
DR: 0.632115(50), 0.510990(all), eps: 0.200000
DR: 0.721741(50), 0.511503(all), eps: 0.200000
DR: 0.658883(50), 0.511818(all), eps: 0.200000
DR: 0.696351(50), 0.512231(all), eps: 0.200000
DR: 0.689515(50), 0.512608(all), eps: 0.200000
DR: 0.634554(50), 0.512928(all), eps: 0.200000
DR: 0.798971(50), 0.513534(all), eps: 0.200000
DR: 0.688923(50), 0.513893(all), eps: 0.200000
DR: 0.630261(50), 0.514139(all), eps: 0.200000
DR: 0.692884(50), 0.514588(all), eps: 0.200000
DR: 0.657922(50), 0.514889(all), eps: 0.200000
DR: 0.639885(50), 0.515252(all), eps: 0.200000
DR: 0.709561(50), 0.515658(all), eps: 0.200000
DR: 0.787848(50), 0.516255(all), eps: 0.200000
DR: 0.699743(50), 0.516636(all), eps: 0.200000
DR: 0.666315(50), 0.517032(all), eps: 0.200000
DR: 0.724129(50), 0.517461(all), eps: 0.200000
DR: 0.603958(50), 0.517618(all), eps: 0.200000
DR: 0.714856(50), 0.518025(all), eps: 0.200000
DR: 0.619468(50), 0.518312(all), eps: 0.200000
DR: 0.582908(50), 0.518445(all), eps: 0.200000
DR: 0.636754(50), 0.518743(all), eps: 0.200000
DR: 0.604490(50), 0.518918(all), eps: 0.200000
DR: 0.773146(50), 0.519497(all), eps: 0.200000
DR: 0.710187(50), 0.519885(all), eps: 0.200000
DR: 0.665204(50), 0.520229(all), eps: 0.200000
DR: 0.779847(50), 0.520756(all), eps: 0.200000
DR: 0.674393(50), 0.521161(all), eps: 0.200000
DR: 0.623132(50), 0.521367(all), eps: 0.200000
DR: 0.698213(50), 0.521820(all), eps: 0.200000
DR: 0.601007(50), 0.521979(all), eps: 0.200000
DR: 0.675620(50), 0.522343(all), eps: 0.200000
DR: 0.709613(50), 0.522718(all), eps: 0.200000
DR: 0.697214(50), 0.523162(all), eps: 0.200000
DR: 0.651410(50), 0.523417(all), eps: 0.200000
DR: 0.607203(50), 0.523679(all), eps: 0.200000
DR: 0.732275(50), 0.524093(all), eps: 0.200000
DR: 0.737257(50), 0.524547(all), eps: 0.200000
DR: 0.677909(50), 0.524850(all), eps: 0.200000
DR: 0.687132(50), 0.525211(all), eps: 0.200000
DR: 0.644753(50), 0.525447(all), eps: 0.200000
DR: 0.719569(50), 0.525863(all), eps: 0.200000
DR: 0.622109(50), 0.526052(all), eps: 0.200000
DR: 0.729134(50), 0.526532(all), eps: 0.200000
DR: 0.727118(50), 0.526924(all), eps: 0.200000
DR: 0.729934(50), 0.527405(all), eps: 0.200000
DR: 0.731210(50), 0.527802(all), eps: 0.200000
DR: 0.717943(50), 0.528149(all), eps: 0.200000
DR: 0.790003(50), 0.528656(all), eps: 0.200000
DR: 0.684951(50), 0.528997(all), eps: 0.200000
DR: 0.719471(50), 0.529365(all), eps: 0.200000
DR: 0.727000(50), 0.529751(all), eps: 0.200000
DR: 0.645321(50), 0.529973(all), eps: 0.200000
DR: 0.541537(50), 0.530027(all), eps: 0.200000
DR: 0.739045(50), 0.530427(all), eps: 0.200000
DR: 0.668403(50), 0.530718(all), eps: 0.200000
DR: 0.680642(50), 0.531003(all), eps: 0.200000
